Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.339687824,3.929789,7.966928,0.7783902,0.03108745,1.094184,0.247867,7.328281,-24.05027,-31.51123,1001.495
1.359870911,3.13321,7.309471,1.571822,0.0555515,0.9475459,0.1690214,7.328281,-24.05027,-31.51123,1001.496
1.380054951,-1.891361,10.71629,2.365254,-0.002582414,1.010852,0.05017274,6.974808,-24.78917,-31.13605,1001.496
1.400238514,-4.035995,11.67259,1.938021,0.0300187,1.062385,0.276921,6.974808,-24.78917,-31.13605,1001.498
1.420422077,-1.278608,7.249702,1.266656,0.02600449,1.037871,0.1533353,7.709463,-24.42064,-31.50962,1001.498
1.440605641,1.233677,4.560108,0.6563238,0.0480704,0.8903352,0.06377053,7.709463,-24.42064,-31.50962,1001.498
1.460789681,0.6822002,4.619877,1.022523,0.03033661,0.9193108,0.1446569,7.709463,-24.42064,-31.50962,1001.498
1.480972767,1.540054,5.277333,0.4121909,-0.003985239,1.124668,0.1507179,7.709463,-24.42064,-31.50962,1001.5
1.498633385,1.662604,4.679646,0.5952905,0.001512025,0.9510714,0.07477267,7.709463,-24.42064,-31.50962,1001.5
1.518817425,-1.033507,5.337102,0.9614899,0.03138446,0.9126456,0.1343051,8.074521,-24.04928,-32.38653,1001.502
1.539000511,-0.4207545,5.337102,0.8394234,0.0588215,0.996933,0.1286342,8.074521,-24.04928,-32.38653,1001.502
1.559184551,-0.3594792,2.707276,0.168058,-0.02705987,0.9997365,0.1083791,8.074521,-24.04928,-32.38653,1001.502
1.579367638,-0.05310292,0.675139,-0.8695067,0.01325811,1.054391,0.1784969,7.337987,-24.41958,-31.5111,1001.502
1.599551678,-0.5433049,-1.476536,-1.052606,0.03566951,0.9961792,0.1700131,7.337987,-24.41958,-31.5111,1001.502
1.619734764,-3.423242,-0.1616236,-1.540872,0.02141948,0.9383726,0.1635375,7.709463,-24.42064,-31.50962,1001.502
1.639918804,-1.401159,-0.1018549,-0.8695067,0.03770688,0.9877211,0.1464866,7.709463,-24.42064,-31.50962,1001.502
1.660102367,1.968981,1.332595,-0.2591745,-0.003953842,1.044094,0.0673766,7.709463,-24.42064,-31.50962,1001.502
1.680285931,4.665092,-0.9983862,0.9004567,-0.1494153,0.9864361,0.1428431,7.318575,-23.68095,-31.51135,1001.5
1.700469971,1.785155,0.4360639,0.4732241,0.004572179,0.9764299,0.1117641,7.318575,-23.68095,-31.51135,1001.5
1.720653534,-0.2369287,-1.058155,-0.1981413,0.007815293,0.946242,0.1802572,7.337987,-24.41958,-31.5111,1001.498
1.740837097,-3.484517,1.332595,0.168058,0.001473298,0.912102,0.1932152,7.337987,-24.41958,-31.5111,1001.498
1.761020660,-2.810489,1.810745,0.168058,-0.005581186,0.9789332,0.08847236,7.337987,-24.41958,-31.5111,1001.498
1.778681278,0.9273012,1.511902,0.04599158,-0.0009438581,0.9550938,0.05636559,8.082582,-24.42014,-31.94727,1001.497
1.798864841,3.745963,1.810745,0.4121909,0.01276699,1.017882,0.04834298,8.082582,-24.42014,-31.94727,1001.497
1.819048405,3.623412,1.990052,0.4732241,0.01622437,1.048825,0.1579458,7.709463,-24.42064,-31.50962,1001.495
1.839232445,1.049852,2.288895,0.717357,-0.006033647,1.014246,0.1913551,7.709463,-24.42064,-31.50962,1001.495
1.859415531,-1.401159,2.587739,-0.01504164,0.04005874,0.9529054,0.1428745,7.709463,-24.42064,-31.50962,1001.493
1.879599571,-3.239416,3.00612,0.2901244,0.01215952,0.9862958,0.1542812,8.080938,-24.42168,-31.50814,1001.493
1.899782658,-1.952636,3.245195,1.083556,-0.01558617,1.00717,0.1576546,8.080938,-24.42168,-31.50814,1001.493
1.919966698,-0.5433049,3.245195,1.449756,0.004253239,0.9627741,0.1202528,8.082582,-24.42014,-31.94727,1001.493
1.940149784,-0.2369287,2.767045,0.2290912,0.01796604,0.9851073,0.1362455,8.082582,-24.42014,-31.94727,1001.497
1.960333824,0.1919981,1.332595,0.2901244,0.001964774,0.9921654,0.1334891,8.071233,-24.05237,-31.50827,1001.497
1.980516911,-0.05310292,1.213058,-0.381241,0.02286551,1.057276,0.1950839,8.071233,-24.05237,-31.50827,1001.497
2.000700951,0.1307229,0.6153702,0.04599158,0.03026698,1.003512,0.2042272,8.071233,-24.05237,-31.50827,1001.497
2.020884514,0.866026,0.4958327,0.04599158,0.006001832,0.938306,0.09835619,8.090644,-24.791,-31.50801,1001.495
2.041068077,2.091531,-0.2213924,0.2290912,-0.007889711,1.009575,0.1221701,8.090644,-24.791,-31.50801,1001.495
2.058728695,2.520458,0.1372201,-0.2591745,0.04994461,1.013504,0.105619,8.452414,-24.42274,-31.50666,1001.495
2.078912735,0.8047507,0.6153702,0.1070248,0.01784778,0.9947219,0.1437348,8.452414,-24.42274,-31.50666,1001.495
2.099096298,0.008172336,1.09352,-0.5033074,0.02508855,0.9944656,0.1315544,8.452414,-24.42274,-31.50666,1001.494
2.119279861,-0.7271307,1.452133,-0.5033074,0.01350288,0.955582,0.1264225,7.712751,-24.41755,-32.38788,1001.494
2.139463425,-1.217333,2.04982,-0.2591745,0.007774451,0.9892985,0.1869484,7.712751,-24.41755,-32.38788,1001.494
2.159646988,-1.462434,2.109589,-0.381241,-0.003791669,0.9887679,0.1743036,7.709463,-24.42064,-31.50962,1001.494
2.179830551,-1.033507,1.452133,-0.5643406,0.006647684,0.9633682,0.1616209,7.709463,-24.42064,-31.50962,1001.499
2.200014591,-0.2369287,0.9739827,0.2290912,0.001254594,0.9705114,0.1661495,7.709463,-24.42064,-31.50962,1001.499
2.220197678,0.7434754,1.511902,0.1070248,-0.00570187,0.987378,0.1650338,8.452414,-24.42274,-31.50666,1001.498
2.240381718,2.152806,1.870514,0.3511577,0.01729552,1.000561,0.140445,8.452414,-24.42274,-31.50666,1001.498
2.260564804,1.785155,2.229126,0.168058,0.0001256893,1.023696,0.1759623,8.071233,-24.05237,-31.50827,1001.499
2.280748844,0.8047507,2.946352,0.168058,0.01078512,0.9409699,0.13003,8.071233,-24.05237,-31.50827,1001.499
2.300931931,0.1919981,3.783114,1.144589,-0.002384664,0.9922956,0.1626933,8.071233,-24.05237,-31.50827,1001.498
2.318592548,-0.4207545,4.739414,1.449756,-0.00598529,1.010487,0.1796026,7.709463,-24.42064,-31.50962,1001.498
2.338776589,-0.7884059,4.978489,1.083556,0.0208769,0.9440409,0.1286162,7.709463,-24.42064,-31.50962,1001.498
2.358960629,-0.8496812,5.217565,1.083556,0.03217651,0.9661693,0.1616389,8.069589,-24.05391,-31.06914,1001.498
2.379143715,-0.1143782,5.815252,0.717357,0.03801616,1.001548,0.1696293,8.069589,-24.05391,-31.06914,1001.496
2.399327755,0.866026,4.44057,1.022523,-0.02830493,0.9824491,0.1396669,8.069589,-24.05391,-31.06914,1001.496
2.419510841,0.6209249,3.842883,0.3511577,0.004341554,0.9942077,0.1753725,8.071233,-24.05237,-31.50827,1001.5
2.439694882,0.3758239,2.408433,0.168058,0.01756764,0.9774873,0.1711295,8.071233,-24.05237,-31.50827,1001.5
2.459878445,-0.6045802,1.392364,0.4121909,0.01662771,0.9756225,0.1623354,8.082582,-24.42014,-31.94727,1001.5
2.480062008,-0.7884059,0.6153702,-0.01504164,0.02397609,0.9658401,0.1825677,8.082582,-24.42014,-31.94727,1001.5
2.500245571,-1.033507,-0.7593112,-0.5033074,0.03915035,0.9874771,0.1732419,7.711107,-24.41909,-31.94875,1001.502
2.520429611,-1.094782,-1.894918,-0.6253738,0.0423383,0.9633942,0.1635154,7.711107,-24.41909,-31.94875,1001.502
2.540612698,-0.9109564,-1.117924,-0.7474403,0.03122297,0.9651187,0.1684317,7.711107,-24.41909,-31.94875,1001.502
2.560796738,0.6209249,1.272827,-0.686407,0.04569506,1.00541,0.1336871,8.082582,-24.42014,-31.94727,1001.502
2.580979824,2.091531,1.511902,-0.8084735,-0.0053699,0.9218498,0.07955689,8.082582,-24.42014,-31.94727,1001.502
2.598640442,2.826834,2.288895,-0.4422742,-0.02417522,1.000027,0.1322234,7.711107,-24.41909,-31.94875,1001.502
2.618824482,2.030256,2.348664,-0.01504164,-0.05124325,1.043745,0.1783809,7.711107,-24.41909,-31.94875,1001.503
2.639007569,-0.1756534,0.1969889,0.1070248,-0.02956137,0.9661592,0.168055,7.711107,-24.41909,-31.94875,1001.503
2.659191608,-1.401159,-0.5800049,-0.3202077,-0.00564202,0.9429843,0.1466379,8.463764,-24.7905,-31.94566,1001.505
2.679374695,-1.094782,-0.8788487,-0.01504164,0.04369956,0.9699262,0.1908915,8.463764,-24.7905,-31.94566,1001.505
2.699558735,0.1307229,1.213058,0.717357,0.0129455,1.000643,0.1745141,8.454058,-24.42119,-31.94579,1001.507
2.719741821,0.5596497,4.022189,1.205623,0.0298129,1.001954,0.1652701,8.454058,-24.42119,-31.94579,1001.507
2.739925861,0.4370991,4.978489,1.815955,0.03355801,0.9724374,0.1179681,8.454058,-24.42119,-31.94579,1001.507
2.760109901,0.866026,5.695714,1.266656,-0.03723558,0.9636551,0.1159519,8.101994,-25.15877,-31.94701,1001.507
2.780292988,1.294953,4.619877,0.6563238,-0.03573294,1.076574,0.2135555,8.101994,-25.15877,-31.94701,1001.507
2.800477028,1.111127,2.229126,0.9614899,0.0190959,1.011293,0.1357889,8.080938,-24.42168,-31.50814,1001.507
2.820660591,0.4370991,1.990052,1.144589,0.02108216,0.9667208,0.1383099,8.080938,-24.42168,-31.50814,1001.507
2.840844154,0.2532734,2.109589,1.205623,0.01819168,1.005594,0.1716849,8.080938,-24.42168,-31.50814,1001.505
2.861027718,0.3145486,2.169358,1.144589,0.0703328,1.001659,0.157906,7.690051,-23.68201,-31.50988,1001.505
2.878688335,-0.6658554,3.065889,1.022523,0.019191,0.9630265,0.165975,7.690051,-23.68201,-31.50988,1001.502
2.898872375,-1.64626,2.707276,1.083556,-0.01391206,0.9088882,0.1523009,8.442708,-24.05342,-31.50679,1001.502
2.919055462,-0.1143782,3.48427,1.144589,-0.003146666,1.01473,0.1957397,8.442708,-24.05342,-31.50679,1001.504
2.939239502,2.152806,4.141727,1.266656,0.01538463,1.038759,0.1455831,8.442708,-24.05342,-31.50679,1001.504
2.959422588,3.01066,5.038258,1.754922,-0.01012571,0.9949312,0.1296689,8.061527,-23.68306,-31.5084,1001.505
2.979606628,0.7434754,5.875021,1.327689,0.03110311,0.9349563,0.1804862,8.061527,-23.68306,-31.5084,1001.505
2.999789715,-1.462434,5.516408,1.327689,0.08791513,0.942815,0.2058609,8.431593,-23.68543,-31.13052,1001.5
3.019973755,-2.871765,6.472708,1.083556,0.05377593,0.8953402,0.1538797,8.431593,-23.68543,-31.13052,1001.5
